ID,Date,Description,Amount
1,01-02-2025,Transaction 1,5048
2,02-02-2025,Transaction 2,82
3,03-02-2025,Transaction 3,50
4,04-02-2025,Transaction 4,-555
5,05-02-2025,Transaction 5,124
6,06-02-2025,Transaction 6,-789
7,07-02-2025,Transaction 7,787
8,08-02-2025,Transaction 8,121
9,09-02-2025,Transaction 9,4554
10,10-02-2025,Transaction 10,-504
11,11-02-2025,Transaction 11,50
12,12-02-2025,Transaction 12,548
13,13-02-2025,Transaction 13,48
14,14-02-2025,Transaction 14,50
15,15-02-2025,Transaction 15,-700
16,16-02-2025,Transaction 16,500
17,17-02-2025,Transaction 17,100
18,18-02-2025,Transaction 18,-12
19,19-02-2025,Transaction 19,5250
20,20-02-2025,Transaction 20,353
21,21-02-2025,Transaction 21,-1000
22,22-02-2025,Transaction 22,-987
23,23-02-2025,Transaction 23,354
24,24-02-2025,Transaction 24,645
25,25-02-2025,Transaction 25,33
26,26-02-2025,Transaction 26,-765
27,27-02-2025,Transaction 27,5852
